conference_topic,research_area,concept
Modelling of cyber-physical energy and communication systems,power systems,cyber-physical systems
Modelling of cyber-physical energy and communication systems,power systems,energy systems
Prediction fundamentals,prediction,prediction
New prediction modeling approaches,prediction,modeling
New prediction modeling approaches,prediction,prediction
Methods/tools for prediction testing and validation,prediction,testing
Methods/tools for prediction testing and validation,prediction,tools
Methods/tools for prediction testing and validation,prediction,prediction
Methods/tools for prediction testing and validation,prediction,validation
Methods/tools for prediction testing and validation,prediction,methods
Solutions for prevention via prediction,prediction,prevention
Solutions for prevention via prediction,prediction,solutions
Solutions for prevention via prediction,prediction,prediction
Approaches for correlation functions and data,prediction,data
Approaches for correlation functions and data,prediction,approaches
Approaches for correlation functions and data,prediction,correlation functions
Amlds 2025 ieee--2025 international conference on advanced machine learning and data science,predictive modeling,data science
Amlds 2025 ieee--2025 international conference on advanced machine learning and data science,predictive modeling,advanced machine learning
Special focus: abortion,pregnancy,abortion
Psa applications the primary focus,prescriptive analytics,applications
Psa applications the primary focus,prescriptive analytics,psa
Analysis of specific psa methods in use,prescriptive analytics,psa methods
Analysis of psa method workflow patterns,prescriptive analytics,psa method
Analysis of psa method workflow patterns,prescriptive analytics,workflow patterns
Informational resources on prestressed concrete,prestressed concrete,prestressed concrete
"Standards, practices and manuals on prestressed concrete",prestressed concrete,prestressed concrete
Journal articles on prestressed concrete,prestressed concrete,prestressed concrete
Practice oriented papers and articles on prestressed concrete,prestressed concrete,prestressed concrete
Education publications on prestressed concrete,prestressed concrete,prestressed concrete
Online learning - aci university on prestressed concrete,prestressed concrete,prestressed concrete
Free online education presentations on prestressed concrete (videos),prestressed concrete,prestressed concrete
Events on prestressed concrete,prestressed concrete,prestressed concrete
Application of sustainable bcsa cement for rapid setting prestressed concrete girders,prestressed concrete,prestressed concrete
Application of sustainable bcsa cement for rapid setting prestressed concrete girders,prestressed concrete,girders
Application of sustainable bcsa cement for rapid setting prestressed concrete girders,prestressed concrete,sustainable bcsa cement
Blast response limits for load-bearing prestressed concrete panels,prestressed concrete,panels
Blast response limits for load-bearing prestressed concrete panels,prestressed concrete,prestressed concrete
Blast response limits for load-bearing prestressed concrete panels,prestressed concrete,load-bearing
Blast response limits for load-bearing prestressed concrete panels,prestressed concrete,blast response limits
A review of creep and shrinkage of self-consolidating concrete for prestressed applications,prestressed concrete,self-consolidating concrete
A review of creep and shrinkage of self-consolidating concrete for prestressed applications,prestressed concrete,creep
A review of creep and shrinkage of self-consolidating concrete for prestressed applications,prestressed concrete,shrinkage
A review of creep and shrinkage of self-consolidating concrete for prestressed applications,prestressed concrete,prestressed applications
Concrete beams prestressed with cfrp strands,prestressed concrete,concrete beams
Concrete beams prestressed with cfrp strands,prestressed concrete,prestressed
Concrete beams prestressed with cfrp strands,prestressed concrete,cfrp strands
Condition evaluation and monitoring for management of post-tensioned segmental concrete bridges,prestressed concrete,segmental concrete bridges
Condition evaluation and monitoring for management of post-tensioned segmental concrete bridges,prestressed concrete,condition evaluation
Condition evaluation and monitoring for management of post-tensioned segmental concrete bridges,prestressed concrete,monitoring
Condition evaluation and monitoring for management of post-tensioned segmental concrete bridges,prestressed concrete,post-tensioned
Condition evaluation and monitoring for management of post-tensioned segmental concrete bridges,prestressed concrete,management
Violence,prevention research,violence
Generating asset pricing model via symbolic modeling—a machine learning-based approach,pricing analytics,symbolic modeling
Generating asset pricing model via symbolic modeling—a machine learning-based approach,pricing analytics,asset pricing model
Generating asset pricing model via symbolic modeling—a machine learning-based approach,pricing analytics,machine learning
Symbolic modeling for financial asset pricing,pricing analytics,symbolic modeling
Symbolic modeling for financial asset pricing,pricing analytics,financial asset pricing
Integration of digital health records in primary care,primary care,primary care
Integration of digital health records in primary care,primary care,digital health records
Ai4tech - ai advancing critical technologies,principles of data science,critical technologies
Ai4tech - ai advancing critical technologies,principles of data science,ai
Data science and ai for smart disaster resilience,principles of data science,disaster resilience
Data science and ai for smart disaster resilience,principles of data science,data science
Data science and ai for smart disaster resilience,principles of data science,ai
Theoretical and practical data science and analytics: dsaa,principles of data science,data science
Theoretical and practical data science and analytics: dsaa,principles of data science,analytics
Innovative hardware and architectures for ubiquitous data science,principles of data science,data science
Innovative hardware and architectures for ubiquitous data science,principles of data science,architectures
Innovative hardware and architectures for ubiquitous data science,principles of data science,hardware
Statistics for data science and ai,principles of data science,data science
Statistics for data science and ai,principles of data science,statistics
Statistics for data science and ai,principles of data science,ai
Learning from temporal data,principles of data science,temporal data
Data science and ai for marine science and blue economy,principles of data science,marine science
Data science and ai for marine science and blue economy,principles of data science,data science
Data science and ai for marine science and blue economy,principles of data science,blue economy
Data science and ai for marine science and blue economy,principles of data science,ai
Dsaa’2023 journal track on theoretical and practical data science and analytics,principles of data science,data science
Dsaa’2023 journal track on theoretical and practical data science and analytics,principles of data science,analytics
Data science for next-generation recommender systems,principles of data science,recommender systems
Data science for next-generation recommender systems,principles of data science,data science
Data science and ai in finance,principles of data science,data science
Data science and ai in finance,principles of data science,finance
Data science and ai in finance,principles of data science,ai
"A social mining and big data ecosystem for open, responsible data science",principles of data science,big data
"A social mining and big data ecosystem for open, responsible data science",principles of data science,data science
"A social mining and big data ecosystem for open, responsible data science",principles of data science,social mining
Data science for next generation recommender system,principles of data science,data science
Data science for next generation recommender system,principles of data science,recommender system
Track 1: law and data protection,privacy law,data protection
Track 1: law and data protection,privacy law,law
Track 2: technology and compliance,privacy law,technology
Track 2: technology and compliance,privacy law,compliance
Track 3: cybersecurity and data protection,privacy law,data protection
Track 3: cybersecurity and data protection,privacy law,cybersecurity
Track 4: data protection in practice,privacy law,data protection
"Track 5: artificial intelligence, privacy, and data protection",privacy law,privacy
"Track 5: artificial intelligence, privacy, and data protection",privacy law,data protection
"Track 5: artificial intelligence, privacy, and data protection",privacy law,artificial intelligence
"Multidisciplinary approaches, arbitration, and balance in data protection",privacy law,data protection
"Multidisciplinary approaches, arbitration, and balance in data protection",privacy law,multidisciplinary approaches
"Multidisciplinary approaches, arbitration, and balance in data protection",privacy law,arbitration
International law and comparative law in data protection and compliance,privacy law,comparative law
International law and comparative law in data protection and compliance,privacy law,data protection
International law and comparative law in data protection and compliance,privacy law,compliance
International law and comparative law in data protection and compliance,privacy law,international law
Competition law and data protection,privacy law,data protection
Competition law and data protection,privacy law,competition law
Cross-border data transfer approaches and solutions,privacy law,cross-border data transfer
International evolution of data protection regulations,privacy law,international evolution
International evolution of data protection regulations,privacy law,data protection regulations
"Interaction between regulations, standards, and soft law in data protection",privacy law,regulations
"Interaction between regulations, standards, and soft law in data protection",privacy law,soft law
"Interaction between regulations, standards, and soft law in data protection",privacy law,data protection
"Interaction between regulations, standards, and soft law in data protection",privacy law,interaction
"Interaction between regulations, standards, and soft law in data protection",privacy law,standards
Data subject rights and data portability,privacy law,data subject rights
Data subject rights and data portability,privacy law,data portability
The privacy research day: a major academic conference on data protection,privacy law,privacy research
The privacy research day: a major academic conference on data protection,privacy law,data protection
"First annual west coast sexuality, gender and the law conference",private law,sexuality
"First annual west coast sexuality, gender and the law conference",private law,gender
"First annual west coast sexuality, gender and the law conference",private law,law
Nais strategy lab financial series workshop: staffing and compensation,private school leadership,staffing
Nais strategy lab financial series workshop: staffing and compensation,private school leadership,compensation
"Crossing partitions through algebra, combinatorics, and probability (website), vienna, austria",probabilistic analysis,probability
"Crossing partitions through algebra, combinatorics, and probability (website), vienna, austria",probabilistic analysis,algebra
"Crossing partitions through algebra, combinatorics, and probability (website), vienna, austria",probabilistic analysis,combinatorics
"Crossing partitions through algebra, combinatorics, and probability (website), vienna, austria",probability,probability
"Crossing partitions through algebra, combinatorics, and probability (website), vienna, austria",probability,algebra
"Crossing partitions through algebra, combinatorics, and probability (website), vienna, austria",probability,combinatorics
"30 june 2024, thematic program on randomness and geometry (website)toronto, canada, 28 august",probabilistic analysis,geometry
"30 june 2024, thematic program on randomness and geometry (website)toronto, canada, 28 august",probabilistic analysis,randomness
"30 june 2024, thematic program on randomness and geometry (website)toronto, canada, 28 august",probability,geometry
"30 june 2024, thematic program on randomness and geometry (website)toronto, canada, 28 august",probability,randomness
"13 december 2024random matrices and scaling limits (website), djursholm, sweden,",probabilistic analysis,scaling limits
"13 december 2024random matrices and scaling limits (website), djursholm, sweden,",probabilistic analysis,random matrices
"2 september 2024graduate student probability conference (website), wisconsin, usa,",probabilistic analysis,probability
"11 - 14 march 2025, 17th german probability and statistics days (website), dresden, germany",probability,probability
"11 - 14 march 2025, 17th german probability and statistics days (website), dresden, germany",probability,statistics
"13 december 2024random matrices and scaling limits (website), djursholm, sweden",probability,scaling limits
"13 december 2024random matrices and scaling limits (website), djursholm, sweden",probability,random matrices
inhomogeneous random systems,probability,inhomogeneous random systems
stochastic processes on random geometries,probability,stochastic processes
stochastic processes on random geometries,probability,random geometries
stochastic processes on random geometries,stochastic processes,stochastic processes
stochastic processes on random geometries,stochastic processes,random geometries
women in random geometric systems,probability,women
women in random geometric systems,probability,random geometric systems
adaptive refinement algorithms for off-the-grid total variation minimization,process optimization,total variation minimization
adaptive refinement algorithms for off-the-grid total variation minimization,process optimization,adaptive refinement algorithms
connections between robust and bilevel optimization,process optimization,bilevel optimization
connections between robust and bilevel optimization,process optimization,robust optimization
an exponentially converging particle method for the mixed nash equilibrium of continuous games,process optimization,particle method
an exponentially converging particle method for the mixed nash equilibrium of continuous games,process optimization,continuous games
an exponentially converging particle method for the mixed nash equilibrium of continuous games,process optimization,mixed nash equilibrium
first order algorithms for computing linear and polyhedral estimates,process optimization,first order algorithms
first order algorithms for computing linear and polyhedral estimates,process optimization,polyhedral estimates
first order algorithms for computing linear and polyhedral estimates,process optimization,linear estimates
an interior proximal gradient method for nonconvex optimization,process optimization,interior proximal gradient method
an interior proximal gradient method for nonconvex optimization,process optimization,nonconvex optimization
cardinality-constrained structured data-fitting problems,process optimization,structured data-fitting
cardinality-constrained structured data-fitting problems,process optimization,cardinality-constrained problems
machine learning and optimization,process optimization,optimization
machine learning and optimization,process optimization,machine learning
E&pde 2025 - 27th international conference on engineering & product design education,systems design,product design education
E&pde 2025 - 27th international conference on engineering & product design education,systems design,engineering education
E&pde 2025 - 27th international conference on engineering & product design education,systems design,product design
E&pde 2025 - 27th international conference on engineering & product design education,systems design,education
E&pde 2025 - 27th international conference on engineering & product design education,systems design,engineering
E&pde 2025 - 27th international conference on engineering & product design education,product design,product design education
E&pde 2025 - 27th international conference on engineering & product design education,product design,engineering education
E&pde 2025 - 27th international conference on engineering & product design education,product design,product design
E&pde 2025 - 27th international conference on engineering & product design education,product design,education
E&pde 2025 - 27th international conference on engineering & product design education,product design,engineering
E&pde 2025 - 27th international conference on engineering & product design education,study design,product design education
E&pde 2025 - 27th international conference on engineering & product design education,study design,engineering education
E&pde 2025 - 27th international conference on engineering & product design education,study design,product design
E&pde 2025 - 27th international conference on engineering & product design education,study design,education
E&pde 2025 - 27th international conference on engineering & product design education,study design,engineering
3rd canadian design workshop (cdw3),systems design,design
3rd canadian design workshop (cdw3),product design,design
3rd canadian design workshop (cdw3),study design,design
Product liability law,product liability,product liability
"Industrial, product safety & liability",product liability,product safety
"Industrial, product safety & liability",product liability,product liability
Issue 12 2012 special issue on teaching operations management,production management,operations management
My submission is connected to program evaluation.,program evaluation,program evaluation
Project management symposium details,program management,project management
A call for papers has been issued for the 17th annual ut dallas project management symposium.,program management,project management
Ut dallas project management symposium paper and presentation guidelines,program management,project management
"Call for papers, 12th workshop on programming languages and operating systems (plos 2023)",programming languages,operating systems
"Call for papers, 12th workshop on programming languages and operating systems (plos 2023)",programming languages,programming languages
"Call for papers, 2025 acm conference on programming language design and implementation (pldi 2025)",programming languages,implementation
"Call for papers, 2025 acm conference on programming language design and implementation (pldi 2025)",programming languages,programming language design
"Call for presentation, 9th workshop on principles of secure compilation, co-located with popl",programming languages,secure compilation
Call for papers: 17th international symposium on functional and logic programming (flops 2024),programming languages,functional programming
Call for papers: 17th international symposium on functional and logic programming (flops 2024),programming languages,logic programming
Call for papers: 25th international symposium on trends in functional programming,programming languages,functional programming
"Call for papers, cpp 2024 - certified programs and proofs",programming languages,certified programs
"Call for papers, cpp 2024 - certified programs and proofs",programming languages,proofs
Trends in functional programming in education 2022 call for submissions,programming languages,education
Trends in functional programming in education 2022 call for submissions,programming languages,functional programming
"Call for papers, 2nd international conference on code quality (iccq 2022) in-coop with sigplan",programming languages,code quality
"Call for papers -- object-oriented programming, systems, languages, and applications",programming languages,object-oriented programming
Call for papers: second acm sigplan workshop on functional software architecture - fp in the large,programming languages,functional software architecture
[cfp] scheme and functional programming workshop,programming languages,functional programming
[cfp] scheme and functional programming workshop,programming languages,scheme
What are new topics on project portfolio management?,project portfolio management,project portfolio management
Project portfolio managementppmproject implementationproject managementgovernance,project portfolio management,governance
Project portfolio managementppmproject implementationproject managementgovernance,project portfolio management,project portfolio management
Project portfolio managementppmproject implementationproject managementgovernance,project portfolio management,project management
Project portfolio managementppmproject implementationproject managementgovernance,project portfolio management,project implementation
Project portfolio management (ppm): case studies,project portfolio management,project portfolio management
Estimate propensity scores for each treatment by running mnps() function in twang,propensity scores,propensity scores
Assess balance using desired balance metric(s),propensity scores,balance metrics
Assess balance using desired balance metric(s),propensity scores,balance
Assess overlap among treatment samples,propensity scores,treatment samples
Assess overlap among treatment samples,propensity scores,overlap
Method of estimation of the propensity score,propensity scores,propensity score
Method of estimation of the propensity score,propensity scores,estimation
Methods of using the ps,propensity scores,propensity score
Methods of using the ps,propensity scores,methods
Property management & built environment ejournal collection,property management,built environment
Property management & built environment ejournal collection,property management,property management
Does china’s housing supply-demand relationship impact urban innovation capability,property management,urban innovation capability
Does china’s housing supply-demand relationship impact urban innovation capability,property management,housing supply-demand relationship
Land purchasing behavior of real estate enterprises: an organizational status perspective,property management,land purchasing behavior
Land purchasing behavior of real estate enterprises: an organizational status perspective,property management,real estate enterprises
Land purchasing behavior of real estate enterprises: an organizational status perspective,property management,organizational status
Residential satisfaction indicator: latin american evidence,property management,residential satisfaction
Journal of property investment & finance,property management,property investment
Journal of property investment & finance,property management,finance
Special issue: ai & iot applications for smart and sustainable building energy efficiency,property management,iot
Special issue: ai & iot applications for smart and sustainable building energy efficiency,property management,building energy efficiency
Special issue: ai & iot applications for smart and sustainable building energy efficiency,property management,ai
Journal of corporate real estate,property management,corporate real estate
(this article belongs to the special issue protein engineering),protein engineering,protein engineering
High-throughput screening in protein engineering: recent advances and future perspectives,protein engineering,high-throughput screening
High-throughput screening in protein engineering: recent advances and future perspectives,protein engineering,protein engineering
Supplement to the special issue on protein folding and harold a. scheraga,protein engineering,protein folding
Special issue: protein targeting and transport: a tribute to günter blobel,protein engineering,protein transport
Special issue: protein targeting and transport: a tribute to günter blobel,protein engineering,protein targeting
Special issue: harold scheraga: the pundit of protein folding,protein engineering,protein folding
Channel formation in cry toxins: an alphafold-2 perspective,protein structure,alphafold-2
Channel formation in cry toxins: an alphafold-2 perspective,protein structure,cry toxins
Channel formation in cry toxins: an alphafold-2 perspective,protein structure,channel formation
Prediction of protein secondary structures based on substructural descriptors of molecular fragments,protein structure,protein secondary structures
Prediction of protein secondary structures based on substructural descriptors of molecular fragments,protein structure,molecular fragments
Prediction of protein secondary structures based on substructural descriptors of molecular fragments,protein structure,substructural descriptors
Timing of exposure to household poverty and adolescent mental health problems,psychiatric epidemiology,adolescent mental health problems
Timing of exposure to household poverty and adolescent mental health problems,psychiatric epidemiology,household poverty
Section 1. methodology and theory of psycholinguistics. methods of psycholinguistic research.,psycholinguistics,psycholinguistic research
Section 1. methodology and theory of psycholinguistics. methods of psycholinguistic research.,psycholinguistics,methodology
Section 1. methodology and theory of psycholinguistics. methods of psycholinguistic research.,psycholinguistics,psycholinguistics
Section 1. methodology and theory of psycholinguistics. methods of psycholinguistic research.,psycholinguistics,theory
Section 1. methodology and theory of psycholinguistics. methods of psycholinguistic research.,psycholinguistics,methods
Section 4. psycholinguistics of narration and discourse.,psycholinguistics,psycholinguistics
Section 4. psycholinguistics of narration and discourse.,psycholinguistics,narration
Section 4. psycholinguistics of narration and discourse.,psycholinguistics,discourse
Section 7. psycholinguistics of speech communication and intercourse.,psycholinguistics,psycholinguistics
Section 7. psycholinguistics of speech communication and intercourse.,psycholinguistics,speech communication
"Section 9. psycholinguodidactics (psycholinguistics in language teaching – native, second, foreign).",psycholinguistics,psycholinguodidactics
"Section 9. psycholinguodidactics (psycholinguistics in language teaching – native, second, foreign).",psycholinguistics,language teaching
Section 10. psycholinguistics of development (different stages of speech-language ontogeny).,psycholinguistics,speech-language ontogeny
Section 10. psycholinguistics of development (different stages of speech-language ontogeny).,psycholinguistics,psycholinguistics
Section 10. psycholinguistics of development (different stages of speech-language ontogeny).,psycholinguistics,development
Section 11. reflective psycholinguistics.,psycholinguistics,reflective psycholinguistics
Section 15. ethno-psycholinguistics.,psycholinguistics,ethno-psycholinguistics
Section 17. psycholinguistics of translation.,psycholinguistics,psycholinguistics
Section 17. psycholinguistics of translation.,psycholinguistics,translation
Grammatical processing in language learners,psycholinguistics,grammatical processing
Grammatical processing in language learners,psycholinguistics,language learners
Section 2. the image of the human’s (child’s) world and verbal consciousness.,psycholinguistics,image of the human's world
Section 2. the image of the human’s (child’s) world and verbal consciousness.,psycholinguistics,verbal consciousness
Section 3. verbal and non-verbal means of influencing consciousness.,psycholinguistics,verbal means
Section 3. verbal and non-verbal means of influencing consciousness.,psycholinguistics,influencing consciousness
Section 3. verbal and non-verbal means of influencing consciousness.,psycholinguistics,non-verbal means
Section 6. speech perception and understanding. speaking. reading. writing. internal speech.,psycholinguistics,internal speech
Section 6. speech perception and understanding. speaking. reading. writing. internal speech.,psycholinguistics,reading
Section 6. speech perception and understanding. speaking. reading. writing. internal speech.,psycholinguistics,understanding
Section 6. speech perception and understanding. speaking. reading. writing. internal speech.,psycholinguistics,speaking
Section 6. speech perception and understanding. speaking. reading. writing. internal speech.,psycholinguistics,writing
Section 6. speech perception and understanding. speaking. reading. writing. internal speech.,psycholinguistics,speech perception
Section 12. language competence and language competency of a person (child).,psycholinguistics,language competency
Section 12. language competence and language competency of a person (child).,psycholinguistics,language competence
Section 13. bilingualism and multilingualism.,psycholinguistics,bilingualism
Section 13. bilingualism and multilingualism.,psycholinguistics,multilingualism
Section 14. psycholinguistic studies of precedent phenomena.,psycholinguistics,precedent phenomena
Section 14. psycholinguistic studies of precedent phenomena.,psycholinguistics,psycholinguistic studies
Section 16. language and a social context. dialogue.,psycholinguistics,social context
Section 16. language and a social context. dialogue.,psycholinguistics,language
Section 16. language and a social context. dialogue.,psycholinguistics,dialogue
Section 20. transnational and transcultural problems of language in contemporary society.,psycholinguistics,transcultural problems
Section 20. transnational and transcultural problems of language in contemporary society.,psycholinguistics,contemporary society
Section 20. transnational and transcultural problems of language in contemporary society.,psycholinguistics,language
Section 20. transnational and transcultural problems of language in contemporary society.,psycholinguistics,transnational problems
Journal explores the experiences of minority and young populations within lgbtq+ community,psychological counseling,lgbtq+
Journal explores the experiences of minority and young populations within lgbtq+ community,psychological counseling,young populations
Journal explores the experiences of minority and young populations within lgbtq+ community,psychological counseling,minority populations
Journal explores the experiences of minority and young populations within lgbtq+ community,psychological counseling,experiences
Aca ceo testifies on need for improved mental health care for black men and boys,psychological counseling,mental health care
Aca ceo testifies on need for improved mental health care for black men and boys,psychological counseling,boys
Aca ceo testifies on need for improved mental health care for black men and boys,psychological counseling,black men
Counselors share what it's like to lose a client to suicide,psychological counseling,client
Counselors share what it's like to lose a client to suicide,psychological counseling,suicide
Counselors share what it's like to lose a client to suicide,psychological counseling,loss
Freud as linguistic innovator and founder of discourse,psychological foundations,freud
Freud as linguistic innovator and founder of discourse,psychological foundations,discourse
Freud as linguistic innovator and founder of discourse,psychological foundations,linguistic innovator
Psychology and aging,psychology of aging,aging
Psychology and aging,psychology of aging,psychology
Call for papers: age-related changes in memory for gist and details,psychology of aging,age-related changes
Call for papers: age-related changes in memory for gist and details,psychology of aging,memory
Longitudinal investigations of motivational changes in adulthood;,psychology of aging,motivational changes
Longitudinal investigations of motivational changes in adulthood;,psychology of aging,adulthood
Efforts to harness age-group specific personal goals to drive behavior change;,psychology of aging,age-group specific personal goals
Efforts to harness age-group specific personal goals to drive behavior change;,psychology of aging,behavior change
Research programs that investigate the effects of age-related motivational shifts in the workplace;,psychology of aging,workplace
Research programs that investigate the effects of age-related motivational shifts in the workplace;,psychology of aging,age-related motivational shifts
Meta-analytic reviews of the existing literature on motivational processes in adulthood and aging.,psychology of aging,aging
Meta-analytic reviews of the existing literature on motivational processes in adulthood and aging.,psychology of aging,motivational processes
Meta-analytic reviews of the existing literature on motivational processes in adulthood and aging.,psychology of aging,adulthood
Special issue: translational gerosciencerecurring section dedicated to translational geroscience.,psychology of aging,translational geroscience
Special issue: population neuroscience perspectives of psychopathology,psychopathology,population neuroscience
Special issue: population neuroscience perspectives of psychopathology,psychopathology,psychopathology
"Psychopathology—its etiology, development, symptomatology, and course",psychopathology,symptomatology
"Psychopathology—its etiology, development, symptomatology, and course",psychopathology,development
"Psychopathology—its etiology, development, symptomatology, and course",psychopathology,course
"Psychopathology—its etiology, development, symptomatology, and course",psychopathology,etiology
"Psychopathology—its etiology, development, symptomatology, and course",psychopathology,psychopathology
"Descriptive studies, especially those that inform our understanding of the nature of psychopathology",psychopathology,descriptive studies
"Descriptive studies, especially those that inform our understanding of the nature of psychopathology",psychopathology,nature of psychopathology
Basic psychological processes in individuals with mental illness,psychopathology,mental illness
Basic psychological processes in individuals with mental illness,psychopathology,psychological processes
"Sociocultural effects on pathological processes, including the influence of culture and identities",psychopathology,sociocultural effects
"Sociocultural effects on pathological processes, including the influence of culture and identities",psychopathology,identities
"Sociocultural effects on pathological processes, including the influence of culture and identities",psychopathology,culture
"Sociocultural effects on pathological processes, including the influence of culture and identities",psychopathology,pathological processes
Public sector accounting systems and standards,public budgeting,accounting standards
Public sector accounting systems and standards,public budgeting,public sector accounting
Public sector accounting systems and standards,public budgeting,accounting systems
Financial and alternative forms of reporting,public budgeting,financial reporting
Financial and alternative forms of reporting,public budgeting,alternative forms of reporting
Traditional and innovative budgeting approaches and tools,public budgeting,budgeting tools
Traditional and innovative budgeting approaches and tools,public budgeting,budgeting approaches
Traditional and innovative budgeting approaches and tools,public budgeting,innovative budgeting
Traditional and innovative budgeting approaches and tools,public budgeting,traditional budgeting
Models and techniques for long-term planning and strategic management,public budgeting,long-term planning
Models and techniques for long-term planning and strategic management,public budgeting,strategic management
Models and techniques for long-term planning and strategic management,public budgeting,techniques
Models and techniques for long-term planning and strategic management,public budgeting,models
"Public financial management, performance management and costs systems",public budgeting,costs systems
"Public financial management, performance management and costs systems",public budgeting,performance management
"Public financial management, performance management and costs systems",public budgeting,public financial management
"Fiscal and financial sustainability, and fiscal policy",public budgeting,fiscal sustainability
"Fiscal and financial sustainability, and fiscal policy",public budgeting,financial sustainability
"Fiscal and financial sustainability, and fiscal policy",public budgeting,fiscal policy
Different forms of auditing and evaluation,public budgeting,auditing
Different forms of auditing and evaluation,public budgeting,evaluation
"Transparency, accountability and corruption",public budgeting,accountability
"Transparency, accountability and corruption",public budgeting,corruption
"Transparency, accountability and corruption",public budgeting,transparency
Digital government and the implications for accounting.,public budgeting,digital government
Digital government and the implications for accounting.,public budgeting,accounting
Material culture,public culture,material culture
Public economics symposium,public economics,public economics
America’s public safety net,public economics,public safety net
Tax policy and spatial development,public finance,tax policy
Tax policy and spatial development,public finance,spatial development
Fiscal decentralization and inter- and intra-regional fiscal and socioeconomic disparities,public finance,socioeconomic disparities
Fiscal decentralization and inter- and intra-regional fiscal and socioeconomic disparities,public finance,fiscal disparities
Fiscal decentralization and inter- and intra-regional fiscal and socioeconomic disparities,public finance,fiscal decentralization
Intergovernmental transfers and regional economic resilience in climate-impacted regions,public finance,climate-impacted regions
Intergovernmental transfers and regional economic resilience in climate-impacted regions,public finance,intergovernmental transfers
Intergovernmental transfers and regional economic resilience in climate-impacted regions,public finance,regional economic resilience
Financing green transitions in regions,public finance,green transitions
Financing green transitions in regions,public finance,financing
Financing green transitions in regions,public finance,regions
"Fiscal policies and migration, such as workforce mobility and rural depopulation.",public finance,workforce mobility
"Fiscal policies and migration, such as workforce mobility and rural depopulation.",public finance,migration
"Fiscal policies and migration, such as workforce mobility and rural depopulation.",public finance,rural depopulation
"Fiscal policies and migration, such as workforce mobility and rural depopulation.",public finance,fiscal policies
Infrastructure finance and the role of public-private partnerships to finance large-scale projects,public finance,large-scale projects
Infrastructure finance and the role of public-private partnerships to finance large-scale projects,public finance,public-private partnerships
Infrastructure finance and the role of public-private partnerships to finance large-scale projects,public finance,infrastructure finance
Tax evasion,public finance,tax evasion
Tax reform,public finance,tax reform
Transparency in public administration,public finance,public administration
Transparency in public administration,public finance,transparency
Power outages: implications for california’s medically vulnerable population,public health emergency preparedness,california
Power outages: implications for california’s medically vulnerable population,public health emergency preparedness,power outages
Power outages: implications for california’s medically vulnerable population,public health emergency preparedness,medically vulnerable population
Scaling up mental health interventions in schools,public health practice,schools
Scaling up mental health interventions in schools,public health practice,scaling up
Scaling up mental health interventions in schools,public health practice,mental health interventions
The potential of telemedicine in scaling up health interventions,public health practice,health interventions
The potential of telemedicine in scaling up health interventions,public health practice,telemedicine
Tubman’s blackwater: wading through public history at a wildlife refuge,public history,public history
"Decolonizing museums, memorials, and monuments",public history,museums
"Decolonizing museums, memorials, and monuments",public history,monuments
"Decolonizing museums, memorials, and monuments",public history,decolonizing
"Decolonizing museums, memorials, and monuments",public history,memorials
Crisis and resilience,public policy specialization,crisis
Crisis and resilience,public policy specialization,resilience
Environment and sustainability,public policy specialization,sustainability
Environment and sustainability,public policy specialization,environment
"Diversity, equality and inclusion",public policy specialization,diversity
"Diversity, equality and inclusion",public policy specialization,inclusion
"Diversity, equality and inclusion",public policy specialization,equality
Global public policy,public policy specialization,global public policy
Politics and the policy process,public policy specialization,politics
Politics and the policy process,public policy specialization,policy process
Governance and public policy,public policy specialization,public policy
Governance and public policy,public policy specialization,governance
"Context, culture, and public policy",public policy specialization,public policy
"Context, culture, and public policy",public policy specialization,culture
"Context, culture, and public policy",public policy specialization,context
"Special issue track: ai, data science, and comparative public policy",public policy specialization,data science
"Special issue track: ai, data science, and comparative public policy",public policy specialization,comparative public policy
"Special issue track: ai, data science, and comparative public policy",public policy specialization,ai
Special issue track: comparing climate policy implementation toward carbon neutrality,public policy specialization,climate policy
Special issue track: comparing climate policy implementation toward carbon neutrality,public policy specialization,carbon neutrality
Museum of public relations history award,public relations,public relations
Museum of public relations history award,public relations,history
Museum of public relations history award,public relations,award
Museum of public relations history award,public relations,museum
Dei & public relations award,public relations,public relations
Dei & public relations award,public relations,award
Dei & public relations award,public relations,dei
Leveling the playing field: fostering student success in the prssa bateman case study competition,public relations,prssa
Leveling the playing field: fostering student success in the prssa bateman case study competition,public relations,student success
Leveling the playing field: fostering student success in the prssa bateman case study competition,public relations,bateman case study competition
How practitioner expectations align with graduate education,public relations,practitioner expectations
How practitioner expectations align with graduate education,public relations,graduate education
Best practices for internships in applied master’s programs,public relations,best practices
Best practices for internships in applied master’s programs,public relations,internships
Best practices for internships in applied master’s programs,public relations,applied master’s programs
Applied theory at the graduate level,public relations,applied theory
Applied theory at the graduate level,public relations,graduate level
Developing research and data analytical abilities for practice,public relations,research
Developing research and data analytical abilities for practice,public relations,data analytical abilities
Impact of institutional change programs on digital and sustainable public sector governance,public sector,digital governance
Impact of institutional change programs on digital and sustainable public sector governance,public sector,institutional change
Impact of institutional change programs on digital and sustainable public sector governance,public sector,sustainable governance
