conference_topic,journal,extracted_concept
18b. thermal hydraulics of small modular reactors (p),nuclear reactors,thermal hydraulics
18b. thermal hydraulics of small modular reactors (p),nuclear reactors,small modular reactors
18c. thermal hydraulics of microreactors (p),nuclear reactors,thermal hydraulics
18c. thermal hydraulics of microreactors (p),nuclear reactors,microreactors
18e. ai/ml applications in thermal hydraulics,nuclear reactors,machine learning
18e. ai/ml applications in thermal hydraulics,nuclear reactors,artificial intelligence
18e. ai/ml applications in thermal hydraulics,nuclear reactors,thermal hydraulics
18f. thermal hydraulic challenges in multiphysics simulations,nuclear reactors,thermal hydraulics
18f. thermal hydraulic challenges in multiphysics simulations,nuclear reactors,multiphysics simulation
18g. thermal hydraulic challenges and opportunities in microreactors,nuclear reactors,thermal hydraulics
18g. thermal hydraulic challenges and opportunities in microreactors,nuclear reactors,microreactors
18h. thermal hydraulic research and challenges in advanced fuels,nuclear reactors,thermal hydraulics
18h. thermal hydraulic research and challenges in advanced fuels,nuclear reactors,nuclear fuels
18i. oecd/nea ai/ml benchmark on critical heat flux,nuclear reactors,critical heat flux
18j. thermal hydraulics: general,nuclear reactors,thermal hydraulics
18k. advanced reactor thermal hydraulics,nuclear reactors,thermal hydraulics
18k. advanced reactor thermal hydraulics,nuclear reactors,nuclear reactor engineering
18l. experimental thermal hydraulics,nuclear reactors,thermal hydraulics
18l. experimental thermal hydraulics,nuclear reactors,experimental fluid mechanics
18m. computational thermal hydraulics,nuclear reactors,thermal hydraulics
18m. computational thermal hydraulics,nuclear reactors,computational fluid dynamics
18n. computational multiphase flow,nuclear reactors,multiphase flow
18n. computational multiphase flow,nuclear reactors,computational fluid dynamics
18o. experimental multiphase flow,nuclear reactors,experimental fluid mechanics
18o. experimental multiphase flow,nuclear reactors,multiphase flow
isotopes and radiation (ird),nuclear reactors,radiation physics
materials science and technology (mstd),nuclear reactors,materials engineering
materials science and technology (mstd),nuclear reactors,materials science
mathematics and computation (mcd),nuclear reactors,computational science
mathematics and computation (mcd),nuclear reactors,mathematics
nuclear criticality safety (ncsd),nuclear reactors,nuclear safety
nuclear criticality safety (ncsd),nuclear reactors,criticality safety
nuclear installations safety (nisd),nuclear reactors,nuclear safety
nuclear installations safety (nisd),nuclear reactors,nuclear engineering
Ic. instrumentation and controls (i&c),nuclear reactors,instrumentation
Ic1 advanced sensor technology,nuclear reactors,sensor technology
"Ic2 advanced surveillance, online monitoring, diagnostics, and prognostics",nuclear reactors,online monitoring
"Ic2 advanced surveillance, online monitoring, diagnostics, and prognostics",nuclear reactors,diagnostics
"Ic2 advanced surveillance, online monitoring, diagnostics, and prognostics",nuclear reactors,prognostics
Ic5 cybersecurity in i&c,nuclear reactors,cybersecurity
Ic5 cybersecurity in i&c,nuclear reactors,instrumentation
Ic6 cybersecurity in radiation systems,nuclear reactors,cybersecurity
Ic6 cybersecurity in radiation systems,nuclear reactors,radiation systems
Ic7 cybersecurity in wireless technologies,nuclear reactors,cybersecurity
Ic7 cybersecurity in wireless technologies,nuclear reactors,wireless technologies
Ic9 digital twins and their applications,nuclear reactors,digital twins
Ic11 economics and operation of reactor technologies,nuclear reactors,nuclear reactor operation
Ic11 economics and operation of reactor technologies,nuclear reactors,nuclear economics
Ic13 i&c for advanced reactors and small modular reactors,nuclear reactors,small modular reactors
Ic13 i&c for advanced reactors and small modular reactors,nuclear reactors,instrumentation and control
Ic14 i&c for integrated energy systems,nuclear reactors,instrumentation and control
Ic14 i&c for integrated energy systems,nuclear reactors,integrated energy systems
Ic17 machine learning and artificial intelligence for nuclear,nuclear reactors,machine learning
Ic17 machine learning and artificial intelligence for nuclear,nuclear reactors,artificial intelligence
Ic17 machine learning and artificial intelligence for nuclear,nuclear reactors,nuclear engineering
Ic19 reduced order models and surrogates for i&c,nuclear reactors,reduced order modeling
Ic19 reduced order models and surrogates for i&c,nuclear reactors,instrumentation and control
Ic21 robotics for nuclear applications,nuclear reactors,robotics
Ic21 robotics for nuclear applications,nuclear reactors,nuclear engineering
Ic22 structural health monitoring,nuclear reactors,structural health monitoring
Ic23 theory and applications of large language models in nuclear energy,nuclear reactors,nuclear energy
Ic23 theory and applications of large language models in nuclear energy,nuclear reactors,large language models
"Ic24 verification, validation, and uncertainty quantification",nuclear reactors,verification
"Ic24 verification, validation, and uncertainty quantification",nuclear reactors,validation
"Ic24 verification, validation, and uncertainty quantification",nuclear reactors,uncertainty quantification
Ic25 wireless technologies for nuclear facilities,nuclear reactors,wireless technologies
Ic12 i&c and cybersecurity panels,nuclear reactors,cybersecurity
Ic12 i&c and cybersecurity panels,nuclear reactors,instrumentation and control
"Ic15 i&c regulations, standards, and guidelines ic16 i&c system reliability",nuclear reactors,instrumentation and control
Ic18 other topics in i&c and cybersecurity,nuclear reactors,cybersecurity
Ic18 other topics in i&c and cybersecurity,nuclear reactors,instrumentation and control
Policy and regulations for nuclear security,nuclear security,nuclear security policy
Policy and regulations for nuclear security,nuclear security,nuclear security regulations
"Technology and infrastructure for nuclear security prevention, detection and response",nuclear security,nuclear security infrastructure
"Technology and infrastructure for nuclear security prevention, detection and response",nuclear security,nuclear security prevention
"Technology and infrastructure for nuclear security prevention, detection and response",nuclear security,nuclear security technology
"Technology and infrastructure for nuclear security prevention, detection and response",nuclear security,nuclear security response
"Technology and infrastructure for nuclear security prevention, detection and response",nuclear security,nuclear security detection
Capacity building for nuclear security,nuclear security,nuclear security capacity building
Information and computer security considerations for nuclear security,nuclear security,information security
Information and computer security considerations for nuclear security,nuclear security,computer security
Nuclear materials,nuclear systems engineering,nuclear materials
Nuclear reactor design,nuclear systems engineering,nuclear reactor design
Radioactive waste management,nuclear systems engineering,radioactive waste management
"Advanced modelling and simulation of processes, materials and systems",nuclear systems engineering,systems engineering
"Advanced modelling and simulation of processes, materials and systems",nuclear systems engineering,materials science
Design of reactors and power plants,nuclear systems engineering,power plant engineering
Design of reactors and power plants,nuclear systems engineering,nuclear engineering
Design of reactors and power plants,nuclear systems engineering,reactor design
"Effects of radiation on materials, components and systems",nuclear systems engineering,radiation effects
"Effects of radiation on materials, components and systems",nuclear systems engineering,nuclear materials
"Effects of radiation on materials, components and systems",nuclear systems engineering,materials science
Fission and fusion materials and power generation,nuclear systems engineering,fission energy
Fission and fusion materials and power generation,nuclear systems engineering,fusion energy
Management of nuclear waste,nuclear systems engineering,nuclear waste management
Management of nuclear waste,nuclear systems engineering,radioactive waste
Nuclear plant decommissioning and spent fuel management,nuclear systems engineering,nuclear decommissioning
Nuclear plant decommissioning and spent fuel management,nuclear systems engineering,spent fuel management
Radiation effects,nuclear systems engineering,radiation physics
Radiation effects,nuclear systems engineering,radiation safety
Structural integrity and nuclear safety analysis,nuclear systems engineering,nuclear safety
Structural integrity and nuclear safety analysis,nuclear systems engineering,structural integrity
Quantum computing in low-energy nuclear theory,nuclear theory,quantum computing
Nuclear physics in astrophysics,nuclear theory,astrophysics
Nuclear physics in astrophysics,nuclear theory,nuclear physics
Clustering as a window on the hierarchical structure of quantum systems,nuclear theory,clustering
Clustering as a window on the hierarchical structure of quantum systems,nuclear theory,quantum systems
Tensor spin observables,nuclear theory,spin physics
From reactors to stars,nuclear theory,nuclear reactors
Nuclear photonics: overview and perspectives,nuclear theory,photonics
Intersection of low-energy nuclear structure and high-energy nuclear collisions,nuclear theory,high-energy nuclear collisions
Intersection of low-energy nuclear structure and high-energy nuclear collisions,nuclear theory,low-energy nuclear structure
Short-range correlations and the emc effect,nuclear theory,short-range correlations
Short-range correlations and the emc effect,nuclear theory,emc effect
The nuclear many-body problem,nuclear theory,nuclear many-body physics
Precision measurements in nuclear physics,nuclear theory,nuclear physics
Heavy and super-heavy nuclei and elements: production and properties,nuclear theory,nuclear physics
The qcd phase diagram in strong magnetic fields,nuclear theory,quantum chromodynamics
Exotic phenomena at the interface of nuclear and particle physics,nuclear theory,nuclear physics
Exotic phenomena at the interface of nuclear and particle physics,nuclear theory,particle physics
Nuclear symmetry energy,nuclear theory,nuclear physics
Nuclear symmetry energy,nuclear theory,nuclear symmetry energy
Lattice field theory methods in hadron and nuclear physics,nuclear theory,hadron physics
Lattice field theory methods in hadron and nuclear physics,nuclear theory,lattice field theory
Lattice field theory methods in hadron and nuclear physics,nuclear theory,nuclear physics
Exotic matter in neutron stars,nuclear theory,neutron star physics
Exotic matter in neutron stars,nuclear theory,exotic matter
Exotic matter in neutron stars,nuclear theory,nuclear physics
Hadrons and nuclei,nuclear theory,hadron physics
Hadrons and nuclei,nuclear theory,nuclear physics
Cluster structure and dynamics of nuclei - a tribute to mahir hussein,nuclear theory,nuclear structure
Cluster structure and dynamics of nuclei - a tribute to mahir hussein,nuclear theory,nuclear dynamics
Nuclear reaction studies: a tribute to jacques raynal,nuclear theory,nuclear reactions
The 3-d structure of the nucleon,nuclear theory,nucleon structure
Mrs call for papers: scientific basis for nuclear waste management,nuclear waste management,waste management
Equity in nutrition,nutrition development,public health
Equity in nutrition,nutrition development,health equity
Food systems,nutrition development,food systems
Nutrition-sensitive,nutrition development,nutrition
Nutraceuticals and supplementation in plant-based diets,nutrition food processing,nutraceuticals
Nutraceuticals and supplementation in plant-based diets,nutrition food processing,plant-based nutrition
Processing of plant foods,nutrition food processing,food processing
Processing of plant foods,nutrition food processing,plant foods
Effect of digestion on the antioxidant and inflammatory activity of food,nutrition food processing,digestive physiology
Impact of nutrition literacy on diet quality,nutrition literacy,diet quality
Spoilage metabolism,nutrition microbiological spoilage,microbial metabolism
Molds,nutrition microbiological spoilage,mycology
Inactivation,nutrition microbiological spoilage,microbial inactivation
Food spoilage microorganisms: ecology and control,nutrition microbiological spoilage,microbial ecology
Food spoilage microorganisms: ecology and control,nutrition microbiological spoilage,food spoilage
Food spoilage microorganisms: ecology and control,nutrition microbiological spoilage,food microbiology
Food spoilage microorganisms: ecology and control,nutrition microbiological spoilage,microbial control
New methods to determine freshness and spoilage of foods,nutrition microbiological spoilage,food spoilage
Identification of contamination sources of specific spoilage organisms during food production,nutrition microbiological spoilage,food contamination
Identification of contamination sources of specific spoilage organisms during food production,nutrition microbiological spoilage,food production
Effect of preservation and inactivation methods on microbial spoilage of foods,nutrition microbiological spoilage,food preservation
Microbial (bacterial as well as fungal) spores and food spoilage,nutrition microbiological spoilage,mycology
Microbial (bacterial as well as fungal) spores and food spoilage,nutrition microbiological spoilage,spore biology
Microbial (bacterial as well as fungal) spores and food spoilage,nutrition microbiological spoilage,bacteriology
Microbial (bacterial as well as fungal) spores and food spoilage,nutrition microbiological spoilage,food spoilage
Microbial (bacterial as well as fungal) spores and food spoilage,nutrition microbiological spoilage,microbiology
Predictive modelling of food spoilage,nutrition microbiological spoilage,predictive modeling
Role of magnetic resonance imaging in obstetric imaging,obstetric imaging,magnetic resonance imaging
First trimester pregnancy,obstetric imaging,obstetrics
Ultrasound physics,obstetric imaging,ultrasound physics
Prenatal diagnosis of ureteroceles,obstetric imaging,prenatal diagnosis
Magnetic resonance imaging in tubal and non-tubal ectopic pregnancy,obstetric imaging,magnetic resonance imaging
Maternal-fetal medicine,obstetric imaging,maternal-fetal medicine
Computer assisted tomography,obstetric imaging,computed tomography
Prevention of occupational diseases through environmental and policy interventions,occupational disease,environmental health
Prevention of occupational diseases through environmental and policy interventions,occupational disease,occupational health
Injury prevention,occupational disease,injury prevention
Impact of long work hours and shift work on health and safety,occupational disease,shift work
Impact of long work hours and shift work on health and safety,occupational disease,occupational health
Innovative approaches to ergonomics and musculoskeletal injury prevention,occupational disease,ergonomics
Innovative approaches to ergonomics and musculoskeletal injury prevention,occupational disease,musculoskeletal injury prevention
The role of workplace culture in promoting health and safety,occupational disease,occupational health and safety
The role of workplace culture in promoting health and safety,occupational disease,workplace culture
Assessment and management of occupational stress,occupational disease,occupational stress
Technological advancements in occupational health and safety,occupational disease,occupational safety
Technological advancements in occupational health and safety,occupational disease,occupational health
Global perspectives on occupational health and safety standards and practices,occupational disease,global health
Global perspectives on occupational health and safety standards and practices,occupational disease,occupational safety
Global perspectives on occupational health and safety standards and practices,occupational disease,occupational health
Emerging hazards in modern work environments,occupational disease,work environment studies
Emerging hazards in modern work environments,occupational disease,occupational hazards
Gender differences in occupational health risks and outcomes,occupational disease,gender studies
Gender differences in occupational health risks and outcomes,occupational disease,occupational health
Return-to-work strategies and rehabilitation post-injury or illness,occupational disease,occupational rehabilitation
Intersection of occupational health with chronic disease management,occupational disease,chronic disease management
Intersection of occupational health with chronic disease management,occupational disease,occupational health
Economic impact of workplace injuries and illnesses on organizations and societies,occupational disease,public health
Economic impact of workplace injuries and illnesses on organizations and societies,occupational disease,occupational safety
Economic impact of workplace injuries and illnesses on organizations and societies,occupational disease,occupational health
Personal protective equipment (ppe),occupational safety,personal protective equipment
Process safety management,occupational safety,process safety
Accident investigation (see incident investigation),occupational safety,accident investigation
Agricultural operations,occupational safety,agricultural engineering
Ammonia refrigeration,occupational safety,chemical engineering
Ammonia refrigeration,occupational safety,refrigeration engineering
Asbestos,occupational safety,toxicology
Asbestos,occupational safety,occupational health
Asphalt (bitumen) fumes,occupational safety,occupational health
Ocean instrumentation and technology,ocean instrumentation,ocean technology
Instrumentation and observational networks,ocean instrumentation,observational networks
Autonomous ocean platforms and global observing systems,ocean instrumentation,global ocean observing systems
Autonomous ocean platforms and global observing systems,ocean instrumentation,autonomous ocean platforms
Ocean acoustics,ocean instrumentation,ocean acoustics
Ocean optics,ocean instrumentation,ocean optics
Marine biology,oceanic systems,marine biology
Physical oceanography,oceanic systems,physical oceanography
Ocean engineering,oceanic systems,ocean engineering
Coastal engineering,oceanic systems,coastal engineering
Geological oceanography,oceanic systems,geological oceanography
Chemical oceanography,oceanic systems,oceanography
Chemical oceanography,oceanic systems,marine chemistry
Marine environmental science,oceanic systems,marine environmental science
"Theme 2: connected systemsintegrating the marine system across space, time, scales and environments",oceanic systems,systems science
"Theme 2: connected systemsintegrating the marine system across space, time, scales and environments",oceanic systems,marine systems
Implementing stoichiometry,oceanic systems,stoichiometry
Parameterisation of trophic interactions,oceanic systems,trophic interactions
Parameterisation of trophic interactions,oceanic systems,parameterization
"Survivorship, mortality rates and fates in ecosystems.",oceanic systems,survivorship
"Survivorship, mortality rates and fates in ecosystems.",oceanic systems,mortality rates
"Survivorship, mortality rates and fates in ecosystems.",oceanic systems,ecosystem ecology
"Traits, pfts and mixotrophy",oceanic systems,plant functional types
"Traits, pfts and mixotrophy",oceanic systems,functional traits
"Traits, pfts and mixotrophy",oceanic systems,mixotrophy
Ibms and/or implementing individual variability realistically,oceanic systems,individual variability
Ibms and/or implementing individual variability realistically,oceanic systems,individual-based models
Complexity and emergent properties of models,oceanic systems,emergent properties
Complexity and emergent properties of models,oceanic systems,complex systems
Non-deterministic modelling including statistical and stochastic approaches,oceanic systems,statistics
The environmental impact of mass oil spills: the case of the gulf oil spill and the exxon valdez,oceanic systems,environmental science
The environmental impact of mass oil spills: the case of the gulf oil spill and the exxon valdez,oceanic systems,marine pollution
Human and sea predator interaction,oceanic systems,marine biology
Marine biotechnology developments in the 21st century,oceanic systems,marine biotechnology
The ice age and oceanic development,oceanic systems,paleoclimatology
The ice age and oceanic development,oceanic systems,oceanography
Pollution and oceanic impact,oceanic systems,marine pollution
Ocean reefs and biodiversity,oceanic systems,coral reef ecology
Ocean reefs and biodiversity,oceanic systems,biodiversity
Life history/cycles of jellyfish,oceanic systems,marine biology
Life history/cycles of jellyfish,oceanic systems,life history theory
Dissolved organic matter in the ocean,oceanic systems,organic geochemistry
Dissolved organic matter in the ocean,oceanic systems,marine chemistry
Marine chemistry,oceanic systems,marine chemistry
Deep sea exploration: challenges and implications,oceanic systems,deep sea exploration
Deep sea exploration: challenges and implications,oceanic systems,oceanography
Water circulation patterns in fjords,oceanic systems,physical oceanography
Water circulation patterns in fjords,oceanic systems,fjord hydrodynamics
Oxygen isotopes in the shells of marine organisms,oceanic systems,marine biology
Oxygen isotopes in the shells of marine organisms,oceanic systems,paleoclimatology
Tsunami,oceanic systems,tsunami science
Radioactive pollution in the arctic ocean,oceanic systems,arctic oceanography
Radioactive pollution in the arctic ocean,oceanic systems,marine pollution
Bioluminescence and sea creatures,oceanic systems,marine biology
Bioluminescence and sea creatures,oceanic systems,bioluminescence
The nature of near inertial oscillations,oceanic systems,physical oceanography
The nature of near inertial oscillations,oceanic systems,ocean dynamics
Hydrothermal vents,oceanic systems,marine geology
Vertical migration of ocean organisms,oceanic systems,marine biology
Vertical migration of ocean organisms,oceanic systems,marine ecology
Ocean tides,oceanic systems,physical oceanography
Ocean engineering,offshore systems,ocean engineering
Design of offshore systems,offshore systems,engineering design
11-07 petroleum production: offshore systems and subsea operations,offshore systems,subsea engineering
11-07 petroleum production: offshore systems and subsea operations,offshore systems,petroleum production
11-11 digitalization and automation of offshore systems and production operations,offshore systems,automation
11-11 digitalization and automation of offshore systems and production operations,offshore systems,digitalization
11-11 digitalization and automation of offshore systems and production operations,offshore systems,production engineering
11-01 well drilling technology,offshore systems,well drilling
11-02 well drilling fluids & hydraulics,offshore systems,hydraulics
11-02 well drilling fluids & hydraulics,offshore systems,drilling fluids
11-04 drilling automation,offshore systems,drilling automation
11-05 well cementing theory & practice,offshore systems,well cementing
11-06 integrity of well barriers,offshore systems,well barriers
02-07 reliability of marine structures and components,offshore systems,marine components
02-07 reliability of marine structures and components,offshore systems,reliability
02-07 reliability of marine structures and components,offshore systems,marine structures
02-08 reliability of renewable energy devices,offshore systems,renewable energy
02-08 reliability of renewable energy devices,offshore systems,reliability engineering
02-09 reliability of mooring and riser systems,offshore systems,mooring systems
02-09 reliability of mooring and riser systems,offshore systems,riser systems
02-09 reliability of mooring and riser systems,offshore systems,reliability engineering
02-11 fatigue and fracture reliability,offshore systems,reliability engineering
02-11 fatigue and fracture reliability,offshore systems,fracture mechanics
02-11 fatigue and fracture reliability,offshore systems,fatigue
02-12 reliability based maintenance and inspection planning,offshore systems,reliability engineering
02-12 reliability based maintenance and inspection planning,offshore systems,inspection planning
02-12 reliability based maintenance and inspection planning,offshore systems,maintenance engineering
1-07 wave loading and motions in extreme seas,offshore systems,offshore hydrodynamics
1-07 wave loading and motions in extreme seas,offshore systems,wave loading
1-10 earthquake design,offshore systems,structural design
1-10 earthquake design,offshore systems,earthquake engineering
1-11 internal waves,offshore systems,physical oceanography
1-11 internal waves,offshore systems,internal waves
02-01 extreme metocean conditions in deep and shallow water,offshore systems,ocean engineering
02-01 extreme metocean conditions in deep and shallow water,offshore systems,metocean engineering
02-02 nonlinear ocean waves,offshore systems,physical oceanography
02-02 nonlinear ocean waves,offshore systems,nonlinear ocean waves
02-03 probabilistic and spectral wave modelling,offshore systems,probabilistic wave modelling
02-03 probabilistic and spectral wave modelling,offshore systems,spectral wave modelling
02-03 probabilistic and spectral wave modelling,offshore systems,ocean wave modelling
02-04 probabilistic models of forces and motions,offshore systems,mechanics
02-06 data-driven models for marine structures,offshore systems,data-driven modeling
Offshore technology,offshore systems,offshore engineering
Offshore technology,offshore systems,marine engineering
"Structures, safety and reliability",offshore systems,reliability engineering
"Structures, safety and reliability",offshore systems,safety engineering
"Structures, safety and reliability",offshore systems,structural engineering
Materials technology,offshore systems,materials technology
Materials technology,offshore systems,materials science
Subsea technology,offshore systems,subsea engineering
Ocean space utilization,offshore systems,marine spatial planning
Ocean space utilization,offshore systems,oceanography
Polar and arctic sciences and technology,offshore systems,arctic technology
Polar and arctic sciences and technology,offshore systems,arctic science
Polar and arctic sciences and technology,offshore systems,polar technology
Polar and arctic sciences and technology,offshore systems,polar science
"Cfd, fsi and ai",offshore systems,artificial intelligence
"Cfd, fsi and ai",offshore systems,fluid-structure interaction
"Cfd, fsi and ai",offshore systems,computational fluid dynamics
Ocean renewable energy,offshore systems,ocean renewable energy
Ocean renewable energy,offshore systems,renewable energy
Offshore geotechnics,offshore systems,geotechnical engineering
Offshore geotechnics,offshore systems,offshore geotechnics
Petroleum technology,offshore systems,petroleum technology
Petroleum technology,offshore systems,petroleum engineering
Smart and sustainable maritime systems,offshore systems,sustainable maritime systems
Smart and sustainable maritime systems,offshore systems,maritime systems engineering
11-03 data science applications in drilling,offshore systems,drilling engineering
11-03 data science applications in drilling,offshore systems,data science
Online teaching and learning strategies,online teaching,learning strategies
Blended learning,online teaching,blended learning
Open education,online teaching,open education
"Retention, progression and completion in online learning moocs",online teaching,online learning
"Retention, progression and completion in online learning moocs",online teaching,massive open online courses
"Integration of online, hybrid, and collaborative learning",online teaching,collaborative learning
"Integration of online, hybrid, and collaborative learning",online teaching,hybrid learning
"Integration of online, hybrid, and collaborative learning",online teaching,online learning
Learning analytics,online teaching,learning analytics
Virtual environments,online teaching,virtual environments
Collaborative approaches to instructional design,online teaching,instructional design
Collaborative approaches to instructional design,online teaching,collaborative learning
operating systems,operating systems,computer science
operating systems,operating systems,operating systems
An integrated approach for lot-sizing and storage assignment,operations analytics,storage assignment
An integrated approach for lot-sizing and storage assignment,operations analytics,operations research
Integrated train timetable with supply–demand interactions at the chinese high-speed railway,operations analytics,train timetable optimization
As a service or a product? a comparison of electric vehicle battery supply models,operations analytics,supply chain management
As a service or a product? a comparison of electric vehicle battery supply models,operations analytics,battery supply
As a service or a product? a comparison of electric vehicle battery supply models,operations analytics,electric vehicles
Social technologies in operations,operations management,operations management
Social technologies in operations,operations management,social technologies
New business models and operations innovations,operations management,operations management
New business models and operations innovations,operations management,business models
Managing autonomous and iot-driven intralogistics operations,operations management,operations management
Managing autonomous and iot-driven intralogistics operations,operations management,internet of things
Managing autonomous and iot-driven intralogistics operations,operations management,autonomous systems
Managing pandemics: a pom perspective,operations management,operations management
Managing pandemics: a pom perspective,operations management,pandemic management
Humanitarian operations and the un sustainable development goals,operations management,humanitarian operations
Humanitarian operations and the un sustainable development goals,operations management,sustainable development
Big data in supply chain management,operations management,supply chain management
Big data in supply chain management,operations management,big data
Humanitarian operations and crisis management,operations management,crisis management
Humanitarian operations and crisis management,operations management,humanitarian operations
Global supply chain risk management,operations management,global supply chain management
Global supply chain risk management,operations management,risk management
Retail operations,operations management,retail operations
Operations in financial services,operations management,financial services operations
Om-marketing interface,operations management,operations management
Om-marketing interface,operations management,marketing
Visible light and free-space optical communication,optical communication,free-space optical communication
Visible light and free-space optical communication,optical communication,visible light communication
Under water optical communications,optical communication,underwater optical communication
High-capacity coherent optical communication,optical communication,coherent optical communication
Secure optical communication,optical communication,secure optical communication
Integration of optical and wireless networking,optical communication,optical networking
Integration of optical and wireless networking,optical communication,wireless networking
Radio over fiber technologies,optical communication,radio over fiber
High-speed optical access technologies,optical communication,optical access
Short-reach optical interconnect for data center networks,optical communication,optical interconnects
Short-reach optical interconnect for data center networks,optical communication,data center networks
Optical modulation and signal processing,optical communication,signal processing
Optical modulation and signal processing,optical communication,optical modulation
Lasers and photonic components,optical communication,lasers
Space division multiplexing technologies,optical communication,space division multiplexing
Optical networks performance modeling,optical communication,optical networks
Optical networks performance modeling,optical communication,performance modeling
"Field trials, demonstrations and pilots in optical networks (incl. non-traditional wavebands)",optical communication,optical networks
"Field trials, demonstrations and pilots in optical networks (incl. non-traditional wavebands)",optical communication,field trials
Demonstrations of machine learning (ml) and artificial intelligence (ai) in optical networks,optical communication,machine learning
Demonstrations of machine learning (ml) and artificial intelligence (ai) in optical networks,optical communication,artificial intelligence
Demonstrations of machine learning (ml) and artificial intelligence (ai) in optical networks,optical communication,optical networks
Applications of network timing and clock distribution services over optical networks,optical communication,optical networks
Applications of network timing and clock distribution services over optical networks,optical communication,clock distribution
Applications of network timing and clock distribution services over optical networks,optical communication,network timing
Non-terrestrial and space-based optical networks,optical communication,space-based optical networks
Non-terrestrial and space-based optical networks,optical communication,non-terrestrial optical networks
Novel optical imaging systems design,optical imaging,optical imaging
Tomographic or cross-sectional optical imaging tools,optical imaging,tomography
Cryoslicer optical imaging advances,optical imaging,optical imaging
Cryoslicer optical imaging advances,optical imaging,cryoslicing
Molecular tracers & their functional capabilities,optical imaging,molecular imaging
Molecular tracers & their functional capabilities,optical imaging,molecular tracers
Fluorescent & phosphorescent imaging and tracking,optical imaging,fluorescence imaging
Fluorescent & phosphorescent imaging and tracking,optical imaging,tracking
Fluorescent & phosphorescent imaging and tracking,optical imaging,phosphorescence imaging
Optics of the human skin,optical imaging,skin optics
Photodynamic therapy,optical imaging,photodynamic therapy
Photonic crystals and nanostructured optical materials,optical materials,photonic crystals
Photonic crystals and nanostructured optical materials,optical materials,nanostructured materials
Optical materials for high-power and high-energy lasers,optical materials,laser materials
Optical materials for high-power and high-energy lasers,optical materials,high-power lasers
Optical materials for high-power and high-energy lasers,optical materials,high-energy lasers
Characterization of properties of the optical materials,optical materials,optical properties
Characterization of defects in optical materials,optical materials,optical materials
Mid-infrared optical materials and nonlinear crystals,optical materials,crystals
Mid-infrared optical materials and nonlinear crystals,optical materials,nonlinear optics
Fundamental mechanisms of laser damage of optical materials,optical materials,optical materials
Laser-defect interactions in optical materials,optical materials,optical materials
Nonlinear and ultrafast optics in organic materials,optical materials,nonlinear optics
Nonlinear and ultrafast optics in organic materials,optical materials,ultrafast optics
Oleds and organic lasers,optical materials,organic lasers
Optical waveguides and integrated photonics,optical materials,optical waveguides
Optical waveguides and integrated photonics,optical materials,integrated photonics
Modeling and simulation of photonic structures,optical materials,photonic structures
Quantum effects in organic photonic systems,optical materials,organic photonics
Measurements of laser-damage threshold,optical materials,laser physics
Measurements of laser-damage threshold,optical materials,laser damage
Laser-induced damage test protocols,optical materials,laser physics
Laser-induced damage test protocols,optical materials,laser damage
"Novel materials for high-power lasers, i.e. metasurfaces and metaoptics",optical materials,metasurfaces
"Novel materials for high-power lasers, i.e. metasurfaces and metaoptics",optical materials,metamaterials
Materials for thin films and thin-film preparation,optical materials,thin film materials
Materials for thin films and thin-film preparation,optical materials,materials science
"Thin-film properties, design, and durability",optical materials,materials durability
"Thin-film properties, design, and durability",optical materials,materials design
Aging issues for laser optics,optical materials,laser optics
Contamination of optical components,optical materials,optical components
Photonic crystals and nanostructured optical materials,optical metrology,photonic crystals
Photonic crystals and nanostructured optical materials,optical metrology,nanostructured materials
Optical materials for high-power and high-energy lasers,optical metrology,optical materials
Characterization of properties of the optical materials,optical metrology,optical materials
Characterization of defects in optical materials,optical metrology,optical materials
Mid-infrared optical materials and nonlinear crystals,optical metrology,nonlinear crystals
Fundamental mechanisms of laser damage of optical materials,optical metrology,optical materials
Laser-defect interactions in optical materials,optical metrology,optical materials
Nonlinear and ultrafast optics in organic materials,optical metrology,nonlinear optics
Nonlinear and ultrafast optics in organic materials,optical metrology,ultrafast optics
Oleds and organic lasers,optical metrology,organic lasers
Optical waveguides and integrated photonics,optical metrology,optical waveguides
Optical waveguides and integrated photonics,optical metrology,integrated photonics
Modeling and simulation of photonic structures,optical metrology,photonic structures
Quantum effects in organic photonic systems,optical metrology,organic photonics
"Novel materials for high-power lasers, i.e. metasurfaces and metaoptics",optical metrology,metasurfaces
"Novel materials for high-power lasers, i.e. metasurfaces and metaoptics",optical metrology,metaoptics
"Novel materials for high-power lasers, i.e. metasurfaces and metaoptics",optical metrology,metamaterials
Aging issues for laser optics,optical metrology,laser optics
Contamination of optical components,optical metrology,optical components
Novel methods of surface polishing and finishing/re-finishing for optical components,optical metrology,surface polishing
Novel methods of surface polishing and finishing/re-finishing for optical components,optical metrology,surface finishing
Methods of laser-damage mitigation,optical metrology,laser damage
Methods of laser-damage mitigation,optical metrology,damage mitigation
Final optics of high-power lasers and laser facilities,optical metrology,laser optics
Modeling aspects in optical metrology,optical metrology,modeling
Modeling aspects in optical metrology,optical metrology,optical metrology
Ai/ml methods for object recognition and/or identification in infrared imagery,optical metrology,machine learning
Ai/ml methods for object recognition and/or identification in infrared imagery,optical metrology,artificial intelligence
Ai/ml methods for object recognition and/or identification in infrared imagery,optical metrology,infrared imaging
